feature,importance
equipment_health_score,0.13732891302892733
storm_risk_index,0.12006303843705225
load_utilization_pct,0.07538990203268056
voltage_fluctuation_pct,0.06948207104394549
maintenance_overdue_days,0.0690939394625326
inspection_score,0.06645654434853285
oil_quality_score,0.06109788901970651
transformer_temperature_c,0.03836207045791294
temperature_c,0.022836251386977206
wind_speed_kmh,0.022773756694647682
regulatory_penalty_cost,0.02276310202665544
estimated_revenue_loss,0.022635725701093283
customers_served,0.02257590655826352
humidity_pct,0.02254125227042712
frequency_deviation_hz,0.022461796339793
rainfall_mm,0.0224514659397221
vibration_level,0.02243025819535623
power_load_mw,0.022417619757045266
avg_outage_duration_minutes,0.022407483081779454
grid_cluster_id,0.01862101149247895
asset_age_years,0.01771166719601583
previous_outages_12m,0.017158736669199395
customer_complaints_last_12m,0.012866777381465959
maintenance_events_last_12m,0.010948091064835208
asset_type_Transformer,0.0026756322969555706
manufacturer_Schneider,0.0025754446524891344
substation_region_North,0.00254663519507022
manufacturer_GE,0.002537593302094791
substation_region_West,0.002528779948621691
asset_type_Substation,0.0024891936389612505
substation_region_East,0.0024813048279438026
substation_region_Central,0.002474785195259101
asset_type_Circuit Breaker,0.002421156943040624
manufacturer_Siemens,0.002417609194196585
substation_region_South,0.0024148460973198167
asset_type_Transmission Line,0.002407387362647385
asset_type_Switchgear,0.0023861516513017256
manufacturer_ABB,0.0023849693890122207
manufacturer_Hitachi,0.002383240718040071
