Model,Precision,Recall,F1,ROC-AUC,PR-AUC,Threshold
Random Forest,0.7408970976253298,0.87042777433354,0.8004561003420753,0.9064510364286894,0.8815545810559293,0.41000000000000003
Decision Tree,0.7469135802469136,0.8626782393056417,0.8006329113924051,0.9003199103795466,0.8700219727232332,0.4
SVM,0.6491746735649174,0.8168009919404836,0.723404255319149,0.8306702299780591,0.7903187603219785,0.47
Logistic Regression,0.6474749939009514,0.8226906385616863,0.724641638225256,0.8306802387364478,0.7903160855841362,0.41500000000000004
